puzzle00.txt: 0 | 0.006615453 seconds
puzzle01.txt: 1 | 0.001223948 seconds
puzzle02.txt: 2 | 0.001280792 seconds
puzzle03.txt: 3 | 1.56346E-4 seconds
puzzle04.txt: 4 | 4.70411E-4 seconds
puzzle05.txt: 5 | 5.8462E-4 seconds
puzzle06.txt: 6 | 7.55645E-4 seconds
puzzle07.txt: 7 | 9.95701E-4 seconds
puzzle08.txt: 8 | 6.94336E-4 seconds
puzzle09.txt: 9 | 0.001197405 seconds
puzzle10.txt: 10 | 0.002825495 seconds
puzzle11.txt: 11 | 0.001318339 seconds
puzzle12.txt: 12 | 0.001099555 seconds
puzzle13.txt: 13 | 7.93243E-4 seconds
puzzle14.txt: 14 | 0.00707784 seconds
puzzle15.txt: 15 | 0.008297579 seconds
puzzle16.txt: 16 | 0.002555195 seconds
puzzle17.txt: 17 | 0.002397557 seconds
puzzle18.txt: 18 | 0.005773577 seconds
puzzle19.txt: 19 | 0.009059073 seconds
puzzle20.txt: 20 | 0.008980419 seconds
puzzle21.txt: 21 | 0.019928033 seconds
puzzle22.txt: 22 | 0.02252402 seconds
puzzle23.txt: 23 | 0.030253416 seconds
puzzle24.txt: 24 | 0.015202879 seconds
puzzle25.txt: 25 | 0.060779937 seconds
puzzle26.txt: 26 | 0.036745746 seconds
puzzle27.txt: 27 | 0.03757908 seconds
puzzle28.txt: 28 | 0.09091815 seconds
puzzle29.txt: 29 | 0.064765275 seconds
puzzle2x2-00.txt: 0 | 1.4762E-5 seconds
puzzle2x2-01.txt: 1 | 1.6912E-5 seconds
puzzle2x2-02.txt: 2 | 1.9893E-5 seconds
puzzle2x2-03.txt: 3 | 3.3364E-5 seconds
puzzle2x2-04.txt: 4 | 2.8758E-5 seconds
puzzle2x2-05.txt: 5 | 3.2921E-5 seconds
puzzle2x2-06.txt: 6 | 4.0289E-5 seconds
puzzle2x2-unsolvable1.txt: -1 | 1.66E-5 seconds
puzzle2x2-unsolvable2.txt: -1 | 1.7978E-5 seconds
puzzle2x2-unsolvable3.txt: -1 | 1.7451E-5 seconds
puzzle30.txt: 30 | 0.18444268 seconds
puzzle31.txt: 31 | 0.19212784 seconds
puzzle32.txt: 32 | 3.2369819 seconds
puzzle33.txt: 33 | 3.771185 seconds
puzzle34.txt: 34 | 1.1493522 seconds
puzzle35.txt: 35 | 1.9155196 seconds
puzzle36.txt: 36 | 19.874403 seconds
puzzle37.txt: 37 | 0.42932734 seconds
puzzle38.txt: 38 | 10.080598 seconds
puzzle39.txt: 39 | 0.27393925 seconds
puzzle3x3-00.txt: 0 | 1.5694E-5 seconds
puzzle3x3-01.txt: 1 | 2.0534E-5 seconds
puzzle3x3-02.txt: 2 | 1.5466E-5 seconds
puzzle3x3-03.txt: 3 | 3.5198E-5 seconds
puzzle3x3-04.txt: 4 | 2.8429E-5 seconds
puzzle3x3-05.txt: 5 | 4.8883E-5 seconds
puzzle3x3-06.txt: 6 | 9.7276E-5 seconds
puzzle3x3-07.txt: 7 | 6.7172E-5 seconds
puzzle3x3-08.txt: 8 | 6.6141E-5 seconds
puzzle3x3-09.txt: 9 | 7.1849E-5 seconds
puzzle3x3-10.txt: 10 | 7.5794E-5 seconds
puzzle3x3-11.txt: 11 | 8.9361E-5 seconds
puzzle3x3-12.txt: 12 | 1.57015E-4 seconds
