puzzle00.txt: 0 | 0.020863283 seconds
puzzle01.txt: 1 | 9.42769E-4 seconds
puzzle02.txt: 2 | 8.82074E-4 seconds
puzzle03.txt: 3 | 1.08554E-4 seconds
puzzle04.txt: 4 | 3.30561E-4 seconds
puzzle05.txt: 5 | 3.92981E-4 seconds
puzzle06.txt: 6 | 3.69368E-4 seconds
puzzle07.txt: 7 | 0.002753795 seconds
puzzle08.txt: 8 | 7.87126E-4 seconds
puzzle09.txt: 9 | 9.01345E-4 seconds
puzzle10.txt: 10 | 0.002592645 seconds
puzzle11.txt: 11 | 0.001150544 seconds
puzzle12.txt: 12 | 7.31737E-4 seconds
puzzle13.txt: 13 | 5.51938E-4 seconds
puzzle14.txt: 14 | 0.011684069 seconds
puzzle15.txt: 15 | 0.001284847 seconds
puzzle16.txt: 16 | 0.002979352 seconds
puzzle17.txt: 17 | 0.002052079 seconds
puzzle18.txt: 18 | 0.005879566 seconds
puzzle19.txt: 19 | 0.008364103 seconds
puzzle20.txt: 20 | 0.016841516 seconds
puzzle21.txt: 21 | 0.018689306 seconds
puzzle22.txt: 22 | 0.015889069 seconds
puzzle23.txt: 23 | 0.020265268 seconds
puzzle24.txt: 24 | 0.012689923 seconds
puzzle25.txt: 25 | 0.03995379 seconds
puzzle26.txt: 26 | 0.029930064 seconds
puzzle27.txt: 27 | 0.026176143 seconds
puzzle28.txt: 28 | 0.08463586 seconds
puzzle29.txt: 29 | 0.06273184 seconds
puzzle2x2-00.txt: 0 | 1.608E-5 seconds
puzzle2x2-01.txt: 1 | 3.7189E-5 seconds
puzzle2x2-02.txt: 2 | 3.569E-5 seconds
puzzle2x2-03.txt: 3 | 1.61653E-4 seconds
puzzle2x2-04.txt: 4 | 9.3066E-5 seconds
puzzle2x2-05.txt: 5 | 1.13018E-4 seconds
puzzle2x2-06.txt: 6 | 4.15342E-4 seconds
puzzle2x2-unsolvable1.txt: -1 | 3.2729E-5 seconds
puzzle2x2-unsolvable2.txt: -1 | 3.2381E-5 seconds
puzzle2x2-unsolvable3.txt: -1 | 3.7289E-5 seconds
puzzle30.txt: 30 | 0.30398798 seconds
puzzle31.txt: 31 | 0.40415904 seconds
puzzle32.txt: 32 | 3.736025 seconds
puzzle33.txt: 33 | 4.493518 seconds
puzzle34.txt: 34 | 1.201643 seconds
puzzle35.txt: 35 | 2.6068714 seconds
puzzle36.txt: 36 | 21.969982 seconds
puzzle37.txt: 37 | 0.46251842 seconds
puzzle38.txt: 38 | 10.961454 seconds
puzzle39.txt: 39 | 0.29531235 seconds
puzzle3x3-00.txt: 0 | 8.6531E-5 seconds
puzzle3x3-01.txt: 1 | 1.34E-5 seconds
puzzle3x3-02.txt: 2 | 3.0598E-5 seconds
puzzle3x3-03.txt: 3 | 4.2672E-5 seconds
puzzle3x3-04.txt: 4 | 2.9001E-5 seconds
puzzle3x3-05.txt: 5 | 1.11784E-4 seconds
puzzle3x3-06.txt: 6 | 7.0779E-5 seconds
puzzle3x3-07.txt: 7 | 6.9177E-5 seconds
puzzle3x3-08.txt: 8 | 5.38707E-4 seconds
puzzle3x3-09.txt: 9 | 9.0618E-5 seconds
puzzle3x3-10.txt: 10 | 1.56804E-4 seconds
puzzle3x3-11.txt: 11 | 1.64626E-4 seconds
puzzle3x3-12.txt: 12 | 1.95555E-4 seconds
puzzle3x3-13.txt: 13 | 5.5741E-4 seconds
puzzle3x3-14.txt: 14 | 3.48823E-4 seconds
puzzle3x3-15.txt: 15 | 2.54307E-4 seconds
puzzle3x3-16.txt: 16 | 0.001075069 seconds
puzzle3x3-17.txt: 17 | 0.004354923 seconds
puzzle3x3-18.txt: 18 | 0.004493572 seconds
puzzle3x3-19.txt: 19 | 1.67827E-4 seconds
puzzle3x3-20.txt: 20 | 0.004318742 seconds
puzzle3x3-21.txt: 21 | 0.004977794 seconds
puzzle3x3-22.txt: 22 | 0.011172126 seconds
puzzle3x3-23.txt: 23 | 0.008723304 seconds
puzzle3x3-24.txt: 24 | 0.028549623 seconds
puzzle3x3-25.txt: 25 | 0.028968848 seconds
puzzle3x3-26.txt: 26 | 0.010904391 seconds
puzzle3x3-27.txt: 27 | 0.13932869 seconds
puzzle3x3-28.txt: 28 | 0.12151805 seconds
puzzle3x3-29.txt: 29 | 0.18839753 seconds
puzzle3x3-30.txt: 30 | 0.14009325 seconds
puzzle3x3-31.txt: 31 | 0.2154983 seconds
puzzle3x3-unsolvable.txt: -1 | 0.014988916 seconds
puzzle3x3-unsolvable1.txt: -1 | 0.002669023 seconds
puzzle3x3-unsolvable2.txt: -1 | 0.003711745 seconds
puzzle40.txt: 40 | 3.5034404 seconds
puzzle41.txt: 41 | 0.27711454 seconds
puzzle42.txt: 42 | 21.420038 seconds
puzzle43.txt: 43 | 6.919575 seconds
puzzle44.txt: 44 | 1.5216479 seconds
puzzle45.txt: 45 | 9.507426 seconds
puzzle46.txt: 46 | 4.4426813 seconds
puzzle47.txt: 47 | 104.79608 seconds
puzzle48.txt: 48 | 24.295906 seconds
puzzle49.txt: 49 | 214.94287 seconds
puzzle4x4-00.txt: 0 | 1.6858E-5 seconds
puzzle4x4-01.txt: 1 | 1.8919E-5 seconds
puzzle4x4-02.txt: 2 | 2.26972E-4 seconds
puzzle4x4-03.txt: 3 | 5.4869E-5 seconds
puzzle4x4-04.txt: 4 | 6.5798E-5 seconds
puzzle4x4-05.txt: 5 | 4.9632E-5 seconds
puzzle4x4-06.txt: 6 | 1.00859E-4 seconds
puzzle4x4-07.txt: 7 | 1.16826E-4 seconds
puzzle4x4-08.txt: 8 | 1.27907E-4 seconds
puzzle4x4-09.txt: 9 | 6.6798E-5 seconds
puzzle4x4-10.txt: 10 | 1.54818E-4 seconds
puzzle4x4-11.txt: 11 | 2.6511E-4 seconds
puzzle4x4-12.txt: 12 | 1.96541E-4 seconds
puzzle4x4-13.txt: 13 | 2.10508E-4 seconds
puzzle4x4-14.txt: 14 | 3.08701E-4 seconds
puzzle4x4-15.txt: 15 | 4.76941E-4 seconds
puzzle4x4-16.txt: 16 | 6.23952E-4 seconds
puzzle4x4-17.txt: 17 | 0.001876222 seconds
puzzle4x4-18.txt: 18 | 0.00819358 seconds
puzzle4x4-19.txt: 19 | 0.001287527 seconds
puzzle4x4-20.txt: 20 | 0.003404626 seconds
puzzle4x4-21.txt: 21 | 0.005676159 seconds
puzzle4x4-22.txt: 22 | 0.003093602 seconds
puzzle4x4-23.txt: 23 | 0.040066257 seconds
puzzle4x4-24.txt: 24 | 0.004494147 seconds
puzzle4x4-25.txt: 25 | 0.013794781 seconds
puzzle4x4-26.txt: 26 | 0.027993787 seconds
puzzle4x4-27.txt: 27 | 0.010291625 seconds
puzzle4x4-28.txt: 28 | 0.06664563 seconds
puzzle4x4-29.txt: 29 | 0.21234809 seconds
puzzle4x4-30.txt: 30 | 0.004294946 seconds
puzzle4x4-31.txt: 31 | 2.4122794 seconds
puzzle4x4-32.txt: 32 | 3.860056 seconds
puzzle4x4-33.txt: 33 | 0.016017092 seconds
puzzle4x4-34.txt: 34 | 0.2255126 seconds
puzzle4x4-35.txt: 35 | 0.8737738 seconds
puzzle4x4-36.txt: 36 | 14.88204 seconds
puzzle4x4-37.txt: 37 | 2.2040188 seconds
puzzle4x4-38.txt: 38 | 24.53353 seconds
puzzle4x4-39.txt: 39 | 6.161363 seconds
puzzle4x4-40.txt: 40 | 24.612818 seconds
puzzle4x4-41.txt: 41 | 8.629804 seconds
puzzle4x4-42.txt: 42 | 5.7839007 seconds
