puzzle00.txt: 0 | 0.005437623 seconds
puzzle01.txt: 1 | 8.21936E-4 seconds
puzzle02.txt: 2 | 8.36117E-4 seconds
puzzle03.txt: 3 | 1.02681E-4 seconds
puzzle04.txt: 4 | 2.80013E-4 seconds
puzzle05.txt: 5 | 4.28361E-4 seconds
puzzle06.txt: 6 | 7.22651E-4 seconds
puzzle07.txt: 7 | 0.001913951 seconds
puzzle08.txt: 8 | 9.94191E-4 seconds
puzzle09.txt: 9 | 0.001169535 seconds
puzzle10.txt: 10 | 0.001904501 seconds
puzzle11.txt: 11 | 0.003366369 seconds
puzzle12.txt: 12 | 0.001762959 seconds
puzzle13.txt: 13 | 7.21755E-4 seconds
puzzle14.txt: 14 | 0.007659769 seconds
puzzle15.txt: 15 | 8.71721E-4 seconds
puzzle16.txt: 16 | 0.003417769 seconds
puzzle17.txt: 17 | 0.002270978 seconds
puzzle18.txt: 18 | 0.004211464 seconds
puzzle19.txt: 19 | 0.004953516 seconds
puzzle20.txt: 20 | 0.013519421 seconds
puzzle21.txt: 21 | 0.019372243 seconds
puzzle22.txt: 22 | 0.016220082 seconds
puzzle23.txt: 23 | 0.027244696 seconds
puzzle24.txt: 24 | 0.033513702 seconds
puzzle25.txt: 25 | 0.052493002 seconds
puzzle26.txt: 26 | 0.031468183 seconds
puzzle27.txt: 27 | 0.09261256 seconds
puzzle28.txt: 28 | 0.1139684 seconds
puzzle29.txt: 29 | 0.119345866 seconds
puzzle2x2-00.txt: 0 | 1.0593E-5 seconds
puzzle2x2-01.txt: 1 | 1.5104E-5 seconds
puzzle2x2-02.txt: 2 | 1.4906E-5 seconds
puzzle2x2-03.txt: 3 | 1.8549E-5 seconds
puzzle2x2-04.txt: 4 | 2.0908E-5 seconds
puzzle2x2-05.txt: 5 | 2.1937E-5 seconds
puzzle2x2-06.txt: 6 | 9.1444E-5 seconds
puzzle2x2-unsolvable1.txt: -1 | 2.0299E-5 seconds
puzzle2x2-unsolvable2.txt: -1 | 4.4112E-5 seconds
puzzle2x2-unsolvable3.txt: -1 | 3.1026E-5 seconds
puzzle30.txt: 30 | 0.13622883 seconds
puzzle31.txt: 31 | 0.29270935 seconds
puzzle32.txt: 32 | 6.682331 seconds
puzzle33.txt: 33 | 3.078179 seconds
puzzle34.txt: 34 | 1.4208691 seconds
puzzle35.txt: 35 | 3.6694906 seconds
puzzle36.txt: 36 | 14.724384 seconds
puzzle37.txt: 37 | 1.6553348 seconds
puzzle38.txt: 38 | 18.360218 seconds
puzzle39.txt: 39 | 0.8120479 seconds
puzzle3x3-00.txt: 0 | 1.1754E-5 seconds
puzzle3x3-01.txt: 1 | 2.51705E-4 seconds
puzzle3x3-02.txt: 2 | 3.5144E-5 seconds
puzzle3x3-03.txt: 3 | 6.6155E-5 seconds
puzzle3x3-04.txt: 4 | 3.9114E-5 seconds
puzzle3x3-05.txt: 5 | 5.1374E-5 seconds
puzzle3x3-06.txt: 6 | 3.8742E-5 seconds
puzzle3x3-07.txt: 7 | 8.8029E-5 seconds
puzzle3x3-08.txt: 8 | 1.15453E-4 seconds
puzzle3x3-09.txt: 9 | 4.2465E-5 seconds
puzzle3x3-10.txt: 10 | 1.06213E-4 seconds
puzzle3x3-11.txt: 11 | 1.2806E-4 seconds
puzzle3x3-12.txt: 12 | 2.58524E-4 seconds
puzzle3x3-13.txt: 13 | 2.61306E-4 seconds
puzzle3x3-14.txt: 14 | 2.79663E-4 seconds
puzzle3x3-15.txt: 15 | 3.98826E-4 seconds
puzzle3x3-16.txt: 16 | 0.001324849 seconds
puzzle3x3-17.txt: 17 | 0.00310959 seconds
puzzle3x3-18.txt: 18 | 0.002749079 seconds
puzzle3x3-19.txt: 19 | 7.6976E-5 seconds
puzzle3x3-20.txt: 20 | 0.002679643 seconds
puzzle3x3-21.txt: 21 | 0.006674196 seconds
puzzle3x3-22.txt: 22 | 0.012084402 seconds
puzzle3x3-23.txt: 23 | 0.007783644 seconds
puzzle3x3-24.txt: 24 | 0.031652175 seconds
puzzle3x3-25.txt: 25 | 0.031153208 seconds
puzzle3x3-26.txt: 26 | 0.012470865 seconds
puzzle3x3-27.txt: 27 | 0.14217009 seconds
puzzle3x3-28.txt: 28 | 0.11249127 seconds
puzzle3x3-29.txt: 29 | 0.17693429 seconds
puzzle3x3-30.txt: 30 | 0.13745224 seconds
puzzle3x3-31.txt: 31 | 0.2993646 seconds
puzzle3x3-unsolvable.txt: -1 | 0.04007896 seconds
puzzle3x3-unsolvable1.txt: -1 | 0.008517979 seconds
puzzle3x3-unsolvable2.txt: -1 | 0.058859702 seconds
puzzle40.txt: 40 | 6.738744 seconds
puzzle41.txt: 41 | 0.79894376 seconds
puzzle42.txt: 42 | 59.016415 seconds
puzzle43.txt: 43 | 6.553768 seconds
puzzle44.txt: 44 | 1.7511269 seconds
puzzle45.txt: 45 | 12.871236 seconds
puzzle46.txt: 46 | 6.8415856 seconds
puzzle47.txt: 47 | 139.01219 seconds
puzzle48.txt: 48 | 29.104725 seconds
puzzle49.txt: 49 | OutOfMemoryError
---
